,Phone_name,discounted_price,Actual_price,Discount_applied
222,Sparx Neo 7 Plus,"Rs  19,999","Rs  21,999",9% OFF
223,QMobile QStar Max,"Rs  4,099",,
224,Vivo V30e,"Rs  82,999","Rs  95,999",14% OFF
225,me Mobile Magic Star,"Rs  3,550",,
226,me Mobile M106,"Rs  2,699",,
227,XMobile X7,"Rs  4,099",,
228,XMobile X1,"Rs  2,799",,
229,E-Tachi Music E1000,"Rs  3,799",,
230,E-Tachi E-Prime,"Rs  3,799","Rs  3,899",3% OFF
231,Spice S5026,"Rs  2,999",,
232,Faywa E1000 Music,"Rs  3,600",,
233,Itel A49 Play,"Rs  16,399","Rs  16,999",4% OFF
234,XSmart Nova 7,"Rs  19,299","Rs  20,499",6% OFF
235,Nokia C12 Pro,"Rs  21,499","Rs  22,999",7% OFF
236,Apple iPhone 15 Plus,"Rs  399,999","Rs  419,600",5% OFF
237,Itel It 5031,"Rs  3,399",,
238,Calme battery ka pehlwan,"Rs  3,650",,
239,me Mobile I251,"Rs  3,499",,
240,GRACE 9,"Rs  24,799","Rs  25,999",5% OFF
241,Memobile XL300,"Rs  3,499",,
242,GRESSO 4sim,"Rs  3,500",,
243,XMobile Champion,"Rs  3,599",,
244,XMobile Dabang Plus,"Rs  3,849",,
245,XMobile X1000 Music,"Rs  3,999",,
246,XMobile X4i,"Rs  3,799",,
247,XMobile Disco Plus,"Rs  3,899",,
248,Xmobile X6,"Rs  3,899",,
249,Xmobile Boom I,"Rs  3,599","Rs  3,799",5% OFF
250,E-Tachi E40i,"Rs  3,699","Rs  3,799",3% OFF
251,FAYWA Prime 1,"Rs  2,499",,
252,Honor 90 Lite,"Rs  85,799","Rs  89,999",5% OFF
253,XSmart Mate 10,"Rs  21,899","Rs  24,999",12% OFF
254,UMIDIGI A15,"Rs  37,299","Rs  42,999",13% OFF
255,Nokia 105,"Rs  5,549",,
256,VGO TEL Beauty Max,"Rs  3,649",,
257,Itel SG600,"Rs  3,399","Rs  3,999",15% OFF
258,VGO TEL Four 44,"Rs  4,699",,
259,VGO TEL S9,"Rs  4,849",,
260,Digit Play 1,"Rs  13,499","Rs  20,599",34% OFF
261,ZTE Blade A51,"Rs  13,999","Rs  21,999",36% OFF
262,REMAXX R1280,"Rs  2,349","Rs  2,350",0% OFF
263,REMAXX R105,"Rs  2,699",,
264,XMobile Mega Gabbar,"Rs  3,999","Rs  4,099",2% OFF
265,XMobile Music King,"Rs  3,899",,
266,Faywa Music 700,"Rs  3,349","Rs  3,400",2% OFF
267,XSmart Nova 5,"Rs  18,099",,
268,UMIDIGI G3 Plus,"Rs  22,999","Rs  29,999",23% OFF
269,Samsung Galaxy Z Flip 4,"Rs  245,999","Rs  368,499",33% OFF
270,Apple iPhone 15,"Rs  321,999","Rs  344,450",7% OFF
271,Tecno Camon 30 Premier 5G,"Rs  151,999","Rs  158,999",4% OFF
272,me Mobile L109,"Rs  3,149",,
273,GRESSO Turbo 2 Plus,"Rs  2,899",,
274,Gresso Rock star,"Rs  4,199","Rs  4,200",0% OFF
275,OUKITEL C32,"Rs  25,899","Rs  26,499",2% OFF
276,XMobile Music Ka Sultan Plus,"Rs  3,899",,
277,XMobile Gabbar Plus,"Rs  3,599",,
278,XMobile X4 Plus,"Rs  3,749",,
279,XMobile Music Master,"Rs  3,699",,
280,XMobile Music Master,"Rs  3,699",,
281,E-Tachi Magic E5,"Rs  3,749",,
282,E-Tachi E444,"Rs  3,749",,
283,FAYWA F2,"Rs  2,550","Rs  2,775",8% OFF
284,UMIDIGI A15C,"Rs  32,399","Rs  37,999",15% OFF
285,Xiaomi 14,"Rs  289,999","Rs  339,999",15% OFF
286,VGO TEL i888,"Rs  5,099",,
287,Calme E1000,"Rs  3,799",,
288,Sparx Neo 5 Pro,"Rs  17,249","Rs  17,999",4% OFF
289,GRESSO CR7,"Rs  2,799",,
290,XMobile Gabbar Pro Plus,"Rs  3,699",,
291,XMobile X1000 Party,"Rs  3,599",,
292,Villaon V5606,"Rs  2,099",,
293,Qmobile E1000 Party V2,"Rs  3,349","Rs  3,360",0% OFF
294,Calme Music 400,"Rs  4,199",,
295,Gresso G105,"Rs  2,400",,
296,Xmobile Dabang Pro,"Rs  3,799",,
297,E-Tachi E777,"Rs  3,899",,
298,E-Tachi Music E10,"Rs  3,899",,
299,Faywa E2000 Music,"Rs  3,525","Rs  3,625",3% OFF
300,Faywa F10,"Rs  3,199",,
301,GIONEE L800i,"Rs  3,799",,
302,Calme Spark,"Rs  2,899","Rs  3,399",15% OFF
303,Calme M221,"Rs  3,249",,
304,OUKITEL C36,"Rs  20,499","Rs  20,999",2% OFF
305,REMAXX Star,"Rs  2,899",,
306,Xmobile X101,"Rs  2,599",,
307,Faywa Music 500,"Rs  3,299","Rs  3,600",8% OFF
308,Faywa Dabang,"Rs  3,099","Rs  3,249",5% OFF
309,AllCall Hero 20i,"Rs  19,099","Rs  19,999",5% OFF
310,Qmobile Qclub,"Rs  3,399",,
311,Itel A26,"Rs  16,399","Rs  22,399",27% OFF
312,REMAXX Thunder Pro,"Rs  2,649","Rs  2,650",0% OFF
313,REMAXX Hero,"Rs  2,450",,
314,Xmobile D4 Lite,"Rs  4,049",,
315,Faywa Music 800,"Rs  3,099","Rs  3,300",6% OFF
316,Qmobile Qclub,"Rs  3,399",,
317,AllCall Magic 15,"Rs  18,629","Rs  19,499",4% OFF
318,Itel A26,"Rs  16,399","Rs  22,399",27% OFF
319,Sparx Neo X,"Rs  23,699","Rs  24,499",3% OFF
320,Sparx S7,"Rs  14,199","Rs  15,999",11% OFF
321,Xmobile G3 Plus,"Rs  3,899",,
322,Spice Mega Music,"Rs  2,425",,
323,Faywa Music 600,"Rs  3,299","Rs  3,499",6% OFF
324,Gresso A10,"Rs  3,300",,
325,REMAXX Eco,"Rs  2,499","Rs  2,500",0% OFF
326,XMOBILE E4 NEW,"Rs  3,799",,
327,Xmobile Power X,"Rs  3,899",,
328,Xmobile X2 Plus,"Rs  2,899",,
329,Xmobile X16,"Rs  3,999",,
330,Faywa F4,"Rs  2,899","Rs  2,985",3% OFF
331,Faywa SP1000,"Rs  2,475","Rs  2,575",4% OFF
332,Faywa J2 CLASSIC,"Rs  3,049","Rs  3,249",6% OFF
333,VGO TEL i20,"Rs  4,799",,
334,GFive 2Eye,"Rs  1,949",,
335,GFive star,"Rs  1,999",,
336,GFive Mega,"Rs  2,149",,
337,GFive Ultra pro,"Rs  3,099",,
338,Gfive Baadshah,"Rs  3,349",,
339,Calme Music 600,"Rs  3,699",,
340,Jazz Digit Crown 4G,"Rs  6,299",,
341,Jazz Digit E3 Pro 4G,"Rs  10,999",,
342,Digit Infinity Max,"Rs  18,799",,
343,ZTE Blade A72s,"Rs  22,499",,
344,QMobile SL50i,"Rs  3,999",,
345,Qmobile QGuru,"Rs  1,999",,
346,Nokia 2660 Flip,"Rs  15,299",,
347,Samsung Galaxy S22 Ultra,"Rs  289,999",,
348,Samsung Galaxy S22,"Rs  194,999",,
349,Samsung Galaxy A04s,"Rs  39,999",,
350,Calme Music 600,"Rs  3,699",,
351,Jazz Digit Crown 4G,"Rs  6,299",,
352,Jazz Digit E3 Pro 4G,"Rs  10,999",,
353,Digit Infinity Max,"Rs  18,799",,
354,ZTE Blade A72s,"Rs  22,499",,
355,GRESSO R106 Pro,"Rs  2,549",,
356,GRESSO R106,"Rs  2,799",,
357,XMobile F6 Plus,"Rs  3,899",,
358,XMobile X3,"Rs  2,899",,
359,E-Tachi B12,"Rs  2,599",,
360,E-Tachi E4i,"Rs  4,599",,
361,E-Tachi E5310 Lite,"Rs  3,799",,
362,Club Mobile A1000,"Rs  3,799",,
363,itel P17 Pro,"Rs  11,299",,
364,Dcode Bold 2,"Rs  18,999",,
365,QMobile SL100 Power,"Rs  4,299",,
366,QMobile E400i,"Rs  3,599",,
367,QMobile Music 400 Pro,"Rs  3,777",,
368,QMobile SL100 Big,"Rs  4,299",,
369,QMobile QHero,"Rs  3,299",,
370,QPhantom,"Rs  4,699",,
371,Nokia 130,"Rs  5,799",,
372,Nokia 105 2022,"Rs  6,199",,
373,Samsung Galaxy A04,"Rs  18,999",,
374,Samsung Galaxy Z Fold 5,"Rs  589,399",,
375,Infinix Note 30,"Rs  42,999",,
376,Oppo Reno 11F 5G,"Rs  77,999",,
377,Xiaomi 13T,"Rs  160,999",,
378,Xiaomi Poco C65,"Rs  35,999",,
379,Xiaomi 14 Ultra,"Rs  369,599",,
380,Motorola Moto G54 5G,"Rs  43,499",,
381,GFive G3310,"Rs  2,749",,
382,GFive Big Fighter,"Rs  2,749",,
383,GFive Fighter,"Rs  2,899",,
384,GFive Rock,"Rs  2,700",,
385,GFive Big Fighter,"Rs  2,749",,
386,GFive Fighter,"Rs  2,899",,
387,GFive Rock,"Rs  2,700",,
388,GFive pro,"Rs  3,149",,
389,GFive Rocky,"Rs  2,999",,
390,Digit Glory 1,"Rs  12,799",,
391,Digit Next Ultra,"Rs  18,299",,
392,Digit 4G Power Max,"Rs  6,599",,
393,me Mobile Grace 10,"Rs  29,999",,
394,Memobile iPower pro,"Rs  2,399",,
395,XMobile X4,"Rs  3,499",,
396,XMobile Jeet,"Rs  2,799",,
397,XMobile X4 Lite,"Rs  3,999",,
398,XMobile X1 Lite,"Rs  2,399",,
399,E-Tachi B105 Lite,"Rs  2,499",,
400,E-Tachi B555,"Rs  2,199",,
401,Club Mobile A3000,"Rs  3,399",,
402,Sparx Neo 6 Plus,"Rs  17,549",,
403,Honor X5,"Rs  15,499",,
404,Villaon V112,"Rs  2,399",,
405,Samsung Galaxy A14,"Rs  36,999",,
406,Apple iPhone 14 Pro,"Rs  505,999",,
407,QMobile SL100,"Rs  3,880",,
408,QMobile Music Ka Sultan,"Rs  3,799",,
409,Qmobile QGuru Plus,"Rs  2,099",,
410,Qmobile Q150,"Rs  2,649",,
411,Nokia 110 2022,"Rs  7,999",,
